id,grid_solution,steps
lgp-test-4x3-10,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Arnold"", ""bird"", ""google_pixel_6""], [""2"", ""Eric"", ""cat"", ""oneplus_9""], [""3"", ""Peter"", ""dog"", ""iphone_13""], [""4"", ""Alice"", ""fish"", ""samsung_galaxy_s21""]]}",17
lgp-test-5x6-30,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""cat"", ""blends"", ""desert"", ""samsung_galaxy_s21"", ""swimming""], [""2"", ""Alice"", ""bird"", ""prince"", ""dragonfruit"", ""iphone_13"", ""baseball""], [""3"", ""Peter"", ""dog"", ""dunhill"", ""cherry"", ""google_pixel_6"", ""soccer""], [""4"", ""Bob"", ""hamster"", ""blue_master"", ""lime"", ""huawei_p50"", ""tennis""], [""5"", ""Arnold"", ""fish"", ""pall_mall"", ""watermelon"", ""oneplus_9"", ""basketball""]]}",55
lgp-test-3x5-30,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Eric"", ""classical"", ""tennis"", ""blue_master"", ""Holly""], [""2"", ""Arnold"", ""pop"", ""soccer"", ""pall_mall"", ""Aniya""], [""3"", ""Peter"", ""rock"", ""basketball"", ""prince"", ""Janelle""]]}",15
lgp-test-4x3-27,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Peter"", ""mystery"", ""soccer""], [""2"", ""Alice"", ""science_fiction"", ""swimming""], [""3"", ""Arnold"", ""romance"", ""tennis""], [""4"", ""Eric"", ""fantasy"", ""basketball""]]}",62
lgp-test-5x2-22,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Alice"", ""huawei_p50""], [""2"", ""Arnold"", ""oneplus_9""], [""3"", ""Eric"", ""google_pixel_6""], [""4"", ""Peter"", ""samsung_galaxy_s21""], [""5"", ""Bob"", ""iphone_13""]]}",42
lgp-test-4x3-36,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Alice"", ""colonial"", ""tea""], [""2"", ""Arnold"", ""ranch"", ""coffee""], [""3"", ""Eric"", ""craftsman"", ""water""], [""4"", ""Peter"", ""victorian"", ""milk""]]}",24
lgp-test-5x2-14,{},105
lgp-test-4x5-34,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Eric"", ""short"", ""milk"", ""Meredith"", ""Janelle""], [""2"", ""Alice"", ""very_short"", ""water"", ""Fred"", ""Kailyn""], [""3"", ""Peter"", ""average"", ""tea"", ""Samantha"", ""Aniya""], [""4"", ""Arnold"", ""tall"", ""coffee"", ""Bella"", ""Holly""]]}",44
lgp-test-3x6-5,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""doctor"", ""white"", ""carnations"", ""spaghetti"", ""average""], [""2"", ""Arnold"", ""engineer"", ""yellow"", ""lilies"", ""pizza"", ""short""], [""3"", ""Peter"", ""teacher"", ""red"", ""daffodils"", ""grilled_cheese"", ""very_short""]]}",24
lgp-test-5x6-10,{},492
lgp-test-5x2-30,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Alice"", ""fish""], [""2"", ""Bob"", ""horse""], [""3"", ""Eric"", ""bird""], [""4"", ""Arnold"", ""cat""], [""5"", ""Peter"", ""dog""]]}",36
lgp-test-6x5-20,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Eric"", ""grilled_cheese"", ""root_beer"", ""short"", ""may""], [""2"", ""Arnold"", ""stew"", ""water"", ""very_tall"", ""feb""], [""3"", ""Peter"", ""soup"", ""milk"", ""tall"", ""jan""], [""4"", ""Bob"", ""pizza"", ""tea"", ""super_tall"", ""sept""], [""5"", ""Carol"", ""spaghetti"", ""coffee"", ""very_short"", ""mar""], [""6"", ""Alice"", ""stir_fry"", ""boba_tea"", ""average"", ""april""]]}",84
lgp-test-5x6-37,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""knitting"", ""soccer"", ""craftsman"", ""Meredith"", ""average""], [""2"", ""Alice"", ""gardening"", ""swimming"", ""ranch"", ""Timothy"", ""tall""], [""3"", ""Bob"", ""cooking"", ""tennis"", ""modern"", ""Samantha"", ""very_short""], [""4"", ""Peter"", ""painting"", ""baseball"", ""colonial"", ""Bella"", ""very_tall""], [""5"", ""Arnold"", ""photography"", ""basketball"", ""victorian"", ""Fred"", ""short""]]}",168
lgp-test-4x4-16,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Alice"", ""yellow"", ""fish"", ""high_school""], [""2"", ""Eric"", ""green"", ""cat"", ""bachelor""], [""3"", ""Peter"", ""white"", ""bird"", ""associate""], [""4"", ""Arnold"", ""red"", ""horse"", ""master""]]}",33
lgp-test-6x5-4,{},1983
lgp-test-3x6-9,{},71
lgp-test-4x6-36,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""victorian"", ""jazz"", ""lilies"", ""mountain"", ""yellow""], [""2"", ""Peter"", ""colonial"", ""classical"", ""daffodils"", ""cruise"", ""white""], [""3"", ""Alice"", ""craftsman"", ""pop"", ""roses"", ""beach"", ""red""], [""4"", ""Arnold"", ""ranch"", ""rock"", ""carnations"", ""city"", ""green""]]}",44
lgp-test-5x5-0,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Bob"", ""grilled_cheese"", ""lime"", ""science_fiction"", ""cooking""], [""2"", ""Arnold"", ""stew"", ""dragonfruit"", ""mystery"", ""photography""], [""3"", ""Eric"", ""spaghetti"", ""watermelon"", ""fantasy"", ""gardening""], [""4"", ""Peter"", ""stir_fry"", ""desert"", ""romance"", ""knitting""], [""5"", ""Alice"", ""pizza"", ""cherry"", ""biography"", ""painting""]]}",89
lgp-test-2x3-13,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Eric"", ""associate"", ""Aniya""], [""2"", ""Arnold"", ""high_school"", ""Holly""]]}",11
lgp-test-4x2-26,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Peter"", ""teacher""], [""2"", ""Alice"", ""artist""], [""3"", ""Arnold"", ""engineer""], [""4"", ""Eric"", ""doctor""]]}",23
lgp-test-2x3-16,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Eric"", ""pizza"", ""tesla_model_3""], [""2"", ""Arnold"", ""grilled_cheese"", ""ford_f150""]]}",6
lgp-test-3x3-24,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Peter"", ""yellow"", ""Bella""], [""2"", ""Arnold"", ""red"", ""Fred""], [""3"", ""Eric"", ""white"", ""Meredith""]]}",19
lgp-test-5x6-12,{},28
lgp-test-2x6-25,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Arnold"", ""sept"", ""red"", ""dane"", ""black"", ""Fred""], [""2"", ""Eric"", ""april"", ""yellow"", ""brit"", ""brown"", ""Bella""]]}",12
lgp-test-4x3-26,{},38
lgp-test-5x6-29,{},84
lgp-test-2x6-14,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""very_short"", ""cat"", ""dane"", ""yellow"", ""Holly""], [""2"", ""Arnold"", ""short"", ""dog"", ""brit"", ""red"", ""Aniya""]]}",17
lgp-test-2x5-30,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Eric"", ""very_short"", ""daffodils"", ""brown"", ""prince""], [""2"", ""Arnold"", ""short"", ""carnations"", ""black"", ""pall_mall""]]}",13
lgp-test-5x5-21,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Peter"", ""fish"", ""fantasy"", ""swimming"", ""prince""], [""2"", ""Bob"", ""bird"", ""biography"", ""baseball"", ""pall_mall""], [""3"", ""Alice"", ""hamster"", ""romance"", ""soccer"", ""blends""], [""4"", ""Eric"", ""cat"", ""mystery"", ""basketball"", ""blue_master""], [""5"", ""Arnold"", ""dog"", ""science_fiction"", ""tennis"", ""dunhill""]]}",109
lgp-test-2x4-33,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Eric"", ""pall_mall"", ""carnations"", ""basketball""], [""2"", ""Arnold"", ""prince"", ""daffodils"", ""soccer""]]}",10
lgp-test-4x2-28,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Alice"", ""black""], [""2"", ""Arnold"", ""red""], [""3"", ""Eric"", ""brown""], [""4"", ""Peter"", ""blonde""]]}",10
lgp-test-6x6-5,{},11
lgp-test-2x2-18,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Arnold"", ""very_short""], [""2"", ""Eric"", ""short""]]}",4
lgp-test-2x6-29,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""rock"", ""dog"", ""pizza"", ""dane"", ""april""], [""2"", ""Arnold"", ""pop"", ""cat"", ""grilled_cheese"", ""brit"", ""sept""]]}",13
lgp-test-4x2-14,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Alice"", ""Kailyn""], [""2"", ""Peter"", ""Aniya""], [""3"", ""Eric"", ""Janelle""], [""4"", ""Arnold"", ""Holly""]]}",15
lgp-test-4x6-29,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Peter"", ""sept"", ""blonde"", ""craftsman"", ""doctor"", ""desert""], [""2"", ""Arnold"", ""jan"", ""brown"", ""colonial"", ""artist"", ""cherry""], [""3"", ""Eric"", ""april"", ""black"", ""ranch"", ""teacher"", ""dragonfruit""], [""4"", ""Alice"", ""feb"", ""red"", ""victorian"", ""engineer"", ""watermelon""]]}",143
lgp-test-5x3-26,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Eric"", ""fantasy"", ""Samantha""], [""2"", ""Arnold"", ""biography"", ""Meredith""], [""3"", ""Alice"", ""science_fiction"", ""Timothy""], [""4"", ""Bob"", ""mystery"", ""Fred""], [""5"", ""Peter"", ""romance"", ""Bella""]]}",128
lgp-test-5x6-3,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Bob"", ""dunhill"", ""artist"", ""ford_f150"", ""desert"", ""stir_fry""], [""2"", ""Alice"", ""blends"", ""doctor"", ""bmw_3_series"", ""lime"", ""spaghetti""], [""3"", ""Eric"", ""blue_master"", ""teacher"", ""honda_civic"", ""dragonfruit"", ""grilled_cheese""], [""4"", ""Peter"", ""prince"", ""engineer"", ""toyota_camry"", ""watermelon"", ""pizza""], [""5"", ""Arnold"", ""pall_mall"", ""lawyer"", ""tesla_model_3"", ""cherry"", ""stew""]]}",907
lgp-test-3x2-21,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Peter"", ""very_short""], [""2"", ""Arnold"", ""short""], [""3"", ""Eric"", ""average""]]}",10
lgp-test-4x6-26,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Arnold"", ""master"", ""Janelle"", ""horse"", ""feb"", ""classical""], [""2"", ""Peter"", ""bachelor"", ""Holly"", ""cat"", ""sept"", ""rock""], [""3"", ""Alice"", ""associate"", ""Aniya"", ""fish"", ""jan"", ""pop""], [""4"", ""Eric"", ""high_school"", ""Kailyn"", ""bird"", ""april"", ""jazz""]]}",202
lgp-test-4x6-21,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Peter"", ""roses"", ""gardening"", ""bird"", ""red"", ""colonial""], [""2"", ""Arnold"", ""carnations"", ""cooking"", ""fish"", ""white"", ""craftsman""], [""3"", ""Alice"", ""lilies"", ""photography"", ""dog"", ""green"", ""ranch""], [""4"", ""Eric"", ""daffodils"", ""painting"", ""cat"", ""yellow"", ""victorian""]]}",36
lgp-test-3x4-19,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Eric"", ""engineer"", ""milk"", ""samsung_galaxy_s21""], [""2"", ""Arnold"", ""teacher"", ""water"", ""google_pixel_6""], [""3"", ""Peter"", ""doctor"", ""tea"", ""iphone_13""]]}",12
lgp-test-5x2-38,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Peter"", ""oneplus_9""], [""2"", ""Arnold"", ""huawei_p50""], [""3"", ""Bob"", ""iphone_13""], [""4"", ""Alice"", ""samsung_galaxy_s21""], [""5"", ""Eric"", ""google_pixel_6""]]}",19
lgp-test-3x6-26,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Peter"", ""basketball"", ""ranch"", ""fish"", ""sept"", ""brit""], [""2"", ""Arnold"", ""tennis"", ""colonial"", ""cat"", ""jan"", ""swede""], [""3"", ""Eric"", ""soccer"", ""victorian"", ""dog"", ""april"", ""dane""]]}",20
lgp-test-3x6-4,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Peter"", ""soccer"", ""jan"", ""city"", ""very_short"", ""daffodils""], [""2"", ""Arnold"", ""tennis"", ""sept"", ""mountain"", ""average"", ""carnations""], [""3"", ""Eric"", ""basketball"", ""april"", ""beach"", ""short"", ""lilies""]]}",31
lgp-test-6x3-39,{},0
lgp-test-3x5-14,{},17
lgp-test-2x2-16,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Eric"", ""basketball""], [""2"", ""Arnold"", ""soccer""]]}",6
lgp-test-3x2-2,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Peter"", ""Holly""], [""2"", ""Arnold"", ""Janelle""], [""3"", ""Eric"", ""Aniya""]]}",14
lgp-test-2x2-1,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Eric"", ""doctor""], [""2"", ""Arnold"", ""engineer""]]}",7
lgp-test-2x2-38,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Arnold"", ""Holly""], [""2"", ""Eric"", ""Aniya""]]}",5
lgp-test-3x4-10,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Peter"", ""mystery"", ""spaghetti"", ""watermelon""], [""2"", ""Eric"", ""romance"", ""grilled_cheese"", ""cherry""], [""3"", ""Arnold"", ""science_fiction"", ""pizza"", ""desert""]]}",28
lgp-test-4x4-13,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Alice"", ""prince"", ""soccer"", ""water""], [""2"", ""Arnold"", ""blue_master"", ""tennis"", ""coffee""], [""3"", ""Eric"", ""dunhill"", ""basketball"", ""tea""], [""4"", ""Peter"", ""pall_mall"", ""swimming"", ""milk""]]}",18
lgp-test-3x3-7,{},20
lgp-test-4x4-26,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Alice"", ""stew"", ""toyota_camry"", ""horse""], [""2"", ""Arnold"", ""spaghetti"", ""tesla_model_3"", ""bird""], [""3"", ""Eric"", ""pizza"", ""ford_f150"", ""fish""], [""4"", ""Peter"", ""grilled_cheese"", ""honda_civic"", ""cat""]]}",36
lgp-test-6x4-16,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Bob"", ""beach"", ""chinese"", ""blueberry""], [""2"", ""Arnold"", ""cultural"", ""swede"", ""dragonfruit""], [""3"", ""Eric"", ""mountain"", ""dane"", ""cherry""], [""4"", ""Alice"", ""camping"", ""norwegian"", ""lime""], [""5"", ""Carol"", ""cruise"", ""brit"", ""watermelon""], [""6"", ""Peter"", ""city"", ""german"", ""desert""]]}",72
lgp-test-5x4-33,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Eric"", ""roses"", ""swimming"", ""Aniya""], [""2"", ""Peter"", ""carnations"", ""basketball"", ""Kailyn""], [""3"", ""Arnold"", ""tulips"", ""tennis"", ""Janelle""], [""4"", ""Alice"", ""lilies"", ""baseball"", ""Holly""], [""5"", ""Bob"", ""daffodils"", ""soccer"", ""Penny""]]}",78
lgp-test-6x4-11,{},6
lgp-test-2x3-36,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Eric"", ""samsung_galaxy_s21"", ""dog""], [""2"", ""Arnold"", ""iphone_13"", ""cat""]]}",7
lgp-test-6x4-31,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Alice"", ""sept"", ""cruise"", ""red""], [""2"", ""Arnold"", ""april"", ""city"", ""green""], [""3"", ""Peter"", ""mar"", ""beach"", ""purple""], [""4"", ""Carol"", ""feb"", ""camping"", ""yellow""], [""5"", ""Bob"", ""jan"", ""mountain"", ""blue""], [""6"", ""Eric"", ""may"", ""cultural"", ""white""]]}",60
lgp-test-5x6-32,{},641
lgp-test-4x4-28,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Eric"", ""grilled_cheese"", ""tea"", ""cherry""], [""2"", ""Peter"", ""spaghetti"", ""coffee"", ""desert""], [""3"", ""Arnold"", ""pizza"", ""milk"", ""dragonfruit""], [""4"", ""Alice"", ""stew"", ""water"", ""watermelon""]]}",17
lgp-test-2x6-17,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Arnold"", ""red"", ""pall_mall"", ""mystery"", ""brit"", ""doctor""], [""2"", ""Eric"", ""yellow"", ""prince"", ""science_fiction"", ""dane"", ""engineer""]]}",12
lgp-test-6x3-2,{},18
lgp-test-3x2-0,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Eric"", ""fish""], [""2"", ""Peter"", ""dog""], [""3"", ""Arnold"", ""cat""]]}",9
lgp-test-5x6-5,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Arnold"", ""coffee"", ""white"", ""Meredith"", ""ranch"", ""iphone_13""], [""2"", ""Alice"", ""milk"", ""green"", ""Timothy"", ""craftsman"", ""huawei_p50""], [""3"", ""Eric"", ""root_beer"", ""red"", ""Samantha"", ""colonial"", ""oneplus_9""], [""4"", ""Peter"", ""tea"", ""yellow"", ""Fred"", ""modern"", ""samsung_galaxy_s21""], [""5"", ""Bob"", ""water"", ""blue"", ""Bella"", ""victorian"", ""google_pixel_6""]]}",145
lgp-test-6x4-29,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Carol"", ""april"", ""cruise"", ""milk""], [""2"", ""Bob"", ""sept"", ""cultural"", ""tea""], [""3"", ""Peter"", ""feb"", ""beach"", ""boba_tea""], [""4"", ""Alice"", ""mar"", ""mountain"", ""coffee""], [""5"", ""Eric"", ""jan"", ""camping"", ""root_beer""], [""6"", ""Arnold"", ""may"", ""city"", ""water""]]}",50
lgp-test-3x4-13,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Peter"", ""grilled_cheese"", ""rock"", ""milk""], [""2"", ""Arnold"", ""pizza"", ""pop"", ""water""], [""3"", ""Eric"", ""spaghetti"", ""classical"", ""tea""]]}",30
lgp-test-4x5-18,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Arnold"", ""water"", ""bachelor"", ""Holly"", ""red""], [""2"", ""Alice"", ""tea"", ""high_school"", ""Aniya"", ""white""], [""3"", ""Peter"", ""milk"", ""master"", ""Janelle"", ""green""], [""4"", ""Eric"", ""coffee"", ""associate"", ""Kailyn"", ""yellow""]]}",172
